Abbrev.	Region	A	B	C	D	E	F	G	H	total
ILDF	Ile-de-France	9724	5650	8679	9432	839	3353	5355	83	43115
CHAM	Champagne-Ardennes	924	464	567	984	132	423	736	12	4242
PICA	Picardie	1081	490	830	1222	118	410	743	13	4907
HNOR	Haute-Normandie	1135	587	686	904	83	629	813	13	4850
CENT	Centre	1482	667	1020	1535	173	629	989	26	6521
BNOR	Basse-Normandie	1033	509	553	1063	100	433	742	13	4446
BOUR	Bourgogne	1272	527	861	1116	219	769	1232	13	6009
NOPC	Nord-Pas-de-Calais	2549	1141	2164	2752	587	1660	1951	41	12845
LORR	Lorraine	1828	681	1364	1741	302	1289	1683	15	8903
ALSA	Alsace	1076	443	880	1121	145	917	1091	15	5688
FRAC	Franche-Comte	827	333	481	892	137	451	618	18	3757
PAYL	Pays-de-la-Loire	2213	809	1439	2623	269	990	1783	14	10140
BRET	Bretagne	2158	1271	1633	2352	350	950	1509	22	10245
PCHA	Poitou-Charentes	1358	503	639	1377	164	495	959	10	5505
AQUI	Aquitaine	2757	873	1466	2296	215	789	1459	17	9872
MIDI	Midi-Pyrenees	2493	1120	1494	2329	254	855	1565	28	10138
LIMO	Limousin	551	297	386	663	67	334	378	12	2688
RHOA	Rhenes-Alpes	3951	2127	3218	4743	545	2072	3018	36	19710
AUVE	Auvergne	1066	579	724	1239	126	476	649	12	4871
LARO	Languedoc-Roussillon	1844	816	1154	1839	156	469	993	16	7287
PROV	Provence-Alpes-Cete-dAzur	3944	1645	2415	3616	343	1236	2404	22	15625
CORS	Corse	327	31	85	178	9	27	79	0	736
